,city,lat,lon,district,address
0,Москва,55.658859,37.620188,Москва-Варшавское,"Варшавское шоссе, д. 75, корпус 1"
1,Москва,55.788991,37.784637,Москва-Измайловское,ул. 3-я Парковая д.4
2,Москва,55.7940516,37.5918297,Москва-Сущевское,"ул. Сущевский Вал, 5, стр. 3"
3,Балашиха,55.797331,37.9385113,Балашиха,"ул. проспект Ленина д. 31, «ТЦ Радуга» пом 259"
4,Дмитров,56.341754,37.521755,Дмитров,"ул. Загорская, д. 36, ТЦ Малыш, 3 этаж"
5,Домодедово,55.435871,37.7703713,Домодедово,"ул. Корнеева д. 8, 2 эт"
6,Зеленоград,56.002807,37.205885,Зеленоград,"Центральный пр-т, корп.234а"
7,Коломна,55.08408,38.800142,Коломна,"ул. Октябрьский Революции, д. 362"
8,Королев,55.923237,37.822001,Королев,"ул. Карла Маркса, д. 1 А, Дом быта, 2 этаж , офис 216"
9,Красногорск,55.8205539,37.3379947,Красногорск,"ул. Школьная, д. 1, магазин ""Авоська"""
10,Люберцы,55.6796418,37.8903371,Люберцы,"г. Люберцы, Октябрьский пр-т, д.151/9"
11,Мытищи,55.915877,37.7591103,Мытищи,"Шараповский проезд, д.1Б"
12,Наро-Фоминск,55.38272,36.752131,Наро-Фоминск,"ул. Московская, д. 11Б"
13,Ногинск,55.854902,38.4373083,Ногинск,"ул. 3-го интернационала,"
14,Одинцово,55.674478,37.2754773,Одинцово,"ул. Можайское шоссе, д. 20-А, 2-й этаж"
15,Орехово-Зуево,55.795107,38.974333,Орехово-Зуево,"ул. Вокзальная, д. 19"
16,Подольск,55.427569,37.5522113,Подольск,"ул. Комсомольская, д. 1, 1-эт. офис №9"
17,Раменское,55.566868,38.229163,Раменское," ул. Советская, д.1б"
18,Сергиев Посад,56.302246,38.130152,Сергиев Посад,"пр-т Красной Армии, д. 84/22, этаж 2, офис № 20"
19,Серпухов,54.9352842,37.4503328,Серпухов,ул Ворошилова дом 214. 1 этаж
20,Химки,55.8941234,37.4496481,Химки,ул. Московская 14а
21,Санкт-Петербург,59.9336012,30.3151449,Санкт-Петербург,"наб. канала Грибоедова,"
22,Санкт-Петербург Пионерская,60.001109,30.299734,Санкт-Петербург Пионерская,Коломяжский пр-т.15 к.2
23,Барнаул,53.374348,83.74761,Барнаул,"пр-т Ленина, д.161, пом. Н9"
24,Архангельск,64.5345571,40.5221761,Архангельск,ул. Поморская д. 5
25,Астрахань,46.370272,48.049626,Астрахань,"г. Астрахань, ул. Савушкина 19, корп.1."
26,Белгород,50.601438,36.590851,Белгород," ул. Попова, д. 48"
27,Старый Оскол,51.286753,37.809653,Старый Оскол,"мкр «Интернациональный»,"
28,Брянск,53.246618,34.335451,Брянск,ул. Красноармейская д. 101А
29,Владимир,56.1296708,40.3601985,Владимир,"ул. Чайковского, д. 46"
30,Волгоград,48.7190362,44.5329384,Волгоград,"ул. Пражская, д. 8"
31,Воронеж,51.6819523,39.1834044,Воронеж,"Московский проспект, д. 7Е"
32,Иваново,56.986585,40.967318,Иваново,"ул. Богдана Хмельницкого, д.30"
33,Калуга,54.513223,36.271725,Калуга,"Площадь Победы, д. 1"
34,Киров,58.587862,49.678192,Киров,"ул. Свободы, д. 134 пом. 1011"
35,Краснодар,45.0289741,38.9743731,Краснодар,"ул. Красноармейская, д.64/2"
36,Новороссийск,44.719441,37.768364,Новороссийск,"ул. Видова, д.1"
37,Сочи,43.5862499,39.7240594,Сочи,"ул. Советская, д. 40"
38,Красноярск,56.01127,92.836412,Красноярск,"ул. Профсоюзов дом 27, о.н.р. 3"
39,Курск,51.749923,36.189867,Курск,"ул. Радищева, д. 106"
40,Колпино,59.739772,30.612063,Колпино,"ул. Тверская, д. 38"
41,Липецк,52.604227,39.580319,Липецк,"ул. Советская, д. 66"
42,Нижний Новгород,56.3109198,43.9871362,Нижний Новгород,ул. Б.Покровская д.93
43,Великий Новгород,58.524346,31.271221,Великий Новгород,"ул. Газон, дом 3 корп. 1"
44,Новосибирск,55.0392208,82.9542242,Новосибирск,"ул. Фрунзе, д. 228, пом. 5"
45,Омск,54.9506532,73.388351,Омск,"г. Омск, пр-т К.Маркса, д. 59"
46,Оренбург,51.7679766,55.1003844,Оренбург,"ул. Володарского , д. 39"
47,Орск,51.2424731,58.4637136,Орск,"пр-т Ленина, д. 73"
48,Пенза,53.197279,45.01705,Пенза,"ул. Московская, д. 86"
49,Березники,59.4041608,56.8019989,Березники,"ул. Карла Маркса, д.48, оф.223"
50,Пермь,58.005846,56.20624,Пермь,"Дзержинский район, ул. Ленина, д 69."
51,Псков,57.8107813,28.3577164,Псков,Октябрьский пр-т  д. 50А пом. 207
52,Уфа,54.757674,56.008272,Уфа,"Октябрьский р-н, проспект Октября, д. 62"
53,Йошкар-Ола,56.641852,47.890984,Йошкар-Ола,"ул. Красноармейская, д.48 помещение II"
54,Казань,55.7873928,49.1130275,Казань,"ул. Лево-Булачная, 46/2"
55,Набережные Челны,55.745659,52.43633,Набережные Челны,"пр-кт Московский, д. 130 Корпус Б"
56,Ростов-на-Дону,47.2267239,39.7401461,Ростов-на-Дону,"ул. Большая Садовая, д.180"
57,Рязань,54.6232122,39.7542395,Рязань,"ул. Ленина, д.10,"
58,Самара,53.2006792,50.1615913,Самара,ул. Дыбенко д.27А
59,Сызрань,53.148395,48.458491,Сызрань,"ул. Советская, д. 12/33"
60,Тольятти,53.532647,49.334922,Тольятти,"ул. Дзержинского, д.5А"
61,Саратов,51.5361682,46.0255562,Саратов,"ул. Чапаева, д. 79,"
62,Энгельс,51.481705,46.132417,Энгельс,"ул. Тельмана, д.29"
63,Екатеринбург,56.811929,60.609131,Екатеринбург,"ул. 8 Марта, д. 121"
64,Каменск-Уральский,56.3845397,61.9672973,Каменск-Уральский,"ул. Каменская, д. 66, лит. А"
65,Нижний Тагил,57.906691,59.963082,Нижний Тагил,ул. Первомайская д. 25
66,Первоуральск,56.901098,59.950093,Первоуральск,"ул. Герцена, дом 7б"
67,Пятигорск,44.040836,43.062187,Пятигорск,"ул. Мира, 32"
68,Ставрополь,45.035209,41.946484,Ставрополь,"ул. Мира, д. 367/20"
69,Тверь,56.856897,35.908051,Тверь,Тверской проспект д. 8
70,Новомосковск,54.014727,38.284662,Новомосковск,"ул. Березовая, д.23, здание ООО «Сюжет», 1 этаж"
71,Тула,54.1957771,37.6024259,Тула,"ул. Красноармейский проспект, 3"
72,Тюмень,57.1421266,65.5497063,Тюмень,"ул. Малыгина, д.14/3"
73,Ижевск,56.877468,53.264888,Ижевск,ул. Ворошилова д. 27
74,Ульяновск,54.271379,48.285911,Ульяновск,"ул. Рябикова , д. 100"
75,Сургут,61.2576649,73.3815015,Сургут,"г. Сургут, ул. Ленина, 54"
76,Челябинск,55.181772,61.39866,Челябинск,"ул.Кирова, д. 4"
77,Чебоксары,56.121953,47.253764,Чебоксары,ул. Ленина д. 34 нежилое помещение №4
78,Ярославль,57.625248,39.881911,Ярославль,"г. Ярославль, ул. Свободы д.11/37, офис 203"
